,cotton,groundnut,wheat,fallow,,
CC_o,0.0063,0.0063,0.0063,0.0063,,0
CGC,0.0965,0.0965,0.0965,0.0965,,1
CCx,0.95,0.95,0.95,0.95,,2
CDC,0.03,0.03,0.03,0.03,,3
HI_o,0.3,0.3,0.3,0.3,,4
t_CCo,7,7,7,7,,5
Yield [ton/ha],2,2.5,3.9,2,,6
P_upper,1,1,1,1,,7
P_lower,0.55,0.55,0.55,0.55,,8
max_root_depth,1000,1200,1250,1400,,9
plant_day,1,1,154,158,,10
t_grow,195,120,120,195,,11
t_ss,30,30,30,30,,12
max_N_app,2,2,2,2,,13
min_Crop_yield,2,2,2,2,,14
max_Crop_yield,2,2.5,3.9,2,,15
seed_rate_min,2,2,2,2,,16
seed_rate_max,2,2,2,2,,17
crop_cost_per_ton,23160,20390,7440,1000,,18
price_of_crop_ton,41000,40300,15250,2000,,19
ky1,1.2,1.2,1.1,1,,20
ky1,1.2,1.2,1.1,1,,21
ky1,1.2,1.2,1.1,1,,22
ky1,1.2,1.2,1.1,1,,23
Return/ton,17840,19910,7810,1,,24
